	Pd1*	Pd2*	Pd3*	Pd4*	Pd4_3&1*	Pd5*	Pd5_4&1*	Pd6_1*	Pd6_2*	Pd6_3*	Pd6_4&2*	Pd6_5&1*	Pd7_1*	Pd7_2*	Pd7_3*	Pd7_4*	Pd7_5&2*	Pd7_6_1&1*	Pd7_6_2&1*	Pd7_6_3&1*	t
637	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	588060.2953912116
638	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	588067.2897407323
639	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	590016.4659637988
640	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	590024.9401266614
641	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	592428.997821457
642	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	592434.0789159511
643	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	594708.4806096645
644	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	594720.3192949244
645	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	605991.2635595396
646	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	605997.1239953975
647	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	606150.0549500294
648	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	606160.6739579156
649	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	610948.8279415376
650	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	610986.3841584524
651	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	611444.6679783812
652	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	611464.8722282945
653	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	616784.4414695005
654	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	616805.6917862834
655	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	625900.7728057903
656	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	625965.7643076319
657	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	626366.8040535393
658	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	626367.0550219793
659	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	629252.2504033156
660	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	629259.8166564471
661	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	632128.521281048
662	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	632156.4577699506
663	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	634711.0434275981
